cid,fid
0,"[9,16]"
1,"[9,16,2]"
2,"[9,16]"
3,"[9,16]"
4,"[9,16]"
5,"[9,16]"
6,[10]
7,[10]
8,"[2,10]"
9,[10]
10,[10]
11,"[6,14,0,1,10]"
12,"[6,0,1]"
13,"[0,1]"
14,"[6,0,1]"
15,"[6,0,1]"
16,"[6,0,1]"
17,"[6,0,1]"
18,"[0,1]"
19,"[6,0,1]"
20,"[6,0,1,13]"
21,"[6,0,1]"
22,"[0,1,13]"
23,"[6,0,1,13]"
24,"[6,0,1,12]"
25,"[6,0]"
26,"[6,0,1,11]"
27,"[6,0,1]"
28,"[6,0,1]"
29,"[6,0,1]"
30,"[0,1]"
31,"[0,1]"
32,"[6,0,1]"
33,"[0,1]"
34,"[6,0,1]"
35,"[6,0,1]"
36,"[6,0,1]"
37,"[6,0,1]"
38,[5]
39,[5]
40,[5]
41,[13]
42,"[6,0,1]"
43,"[0,2]"
44,[5]
45,[5]
46,[7]
47,[5]
48,[5]
49,[5]
50,[2]
51,[7]
52,[7]
53,[7]
54,[7]
55,[7]
56,[7]
57,"[3,12,8]"
58,"[0,1,11]"
59,"[6,0,1,11]"
60,"[6,0,11]"
61,[2]
62,"[0,2]"
63,"[6,0,2]"
64,[0]
65,[2]
66,"[6,0,1,11]"
67,[2]
68,"[0,2]"
69,"[0,2]"
70,[2]
71,[2]
72,[2]
73,"[2,8]"
74,"[2,8]"
75,"[0,2]"
76,"[6,0,1]"
77,"[6,0,1]"
78,"[6,0,1]"
79,[2]
80,[2]
81,[2]
82,"[0,2]"
83,"[6,0,1,2]"
84,[2]
85,[2]
86,[2]
87,"[0,2]"
88,[2]
89,[2]
90,[2]
91,"[0,2]"
92,"[9,16]"
93,"[0,1]"
94,[5]
95,[4]
96,"[6,0,1]"
97,"[9,16]"
98,"[9,16]"
99,"[9,16]"
100,"[6,0,1]"
101,"[6,0,1]"
102,[7]
103,[7]
104,"[6,0,1,11]"
105,[2]
106,[2]
107,[2]
108,"[9,16]"
109,"[9,16]"
110,"[9,16]"
111,"[6,0,1,2,10]"
112,"[2,10]"
113,[10]
114,[10]
115,[10]
116,"[0,1]"
117,"[0,1]"
118,"[6,0,1]"
119,"[6,0,1]"
120,"[0,1]"
121,"[6,0,1]"
122,"[6,0,1]"
123,"[6,0,1]"
124,"[6,0,1,13]"
125,"[6,0,1,11]"
126,"[0,1]"
127,"[6,0,1]"
128,"[0,1]"
129,"[0,1]"
130,"[6,0,1]"
131,"[6,0,1]"
132,"[6,0,1]"
133,"[6,0,1]"
134,[7]
135,"[6,0,1]"
136,"[0,1]"
137,"[6,0,2]"
138,[7]
139,[5]
140,[7]
141,[5]
142,[5]
143,[5]
144,"[15,4]"
145,[7]
146,[7]
147,"[3,5,8]"
148,"[0,1,11]"
149,"[0,11]"
150,"[0,2]"
151,"[0,2]"
152,"[6,0,2]"
153,"[2,11]"
154,"[2,11]"
155,[2]
156,[2]
157,[2]
158,"[0,2,15]"
159,[2]
160,"[0,2]"
161,[2]
162,[2]
163,[2]
164,[2]
165,[2]
166,[2]
167,[2]
168,"[0,2]"
169,"[9,16]"
